NewTest,Mattest,bachelor-VirtualBox(127.0.1.1)
284,33.3321900368,9689.59072685
285,33.2362937927,9723.11882997
286,33.2536919117,9756.81931901
287,33.0902109146,9790.73586798
288,33.56214118,9824.74938798
289,33.3137691021,9858.50851393
290,33.1398079395,9892.04098296
291,33.2359719276,9925.845433
292,32.9732890129,9959.88398385
293,33.4804739952,9993.97518992
294,33.106441021,10027.4937189
295,33.4566850662,10061.2317679
296,33.1701369286,10094.802202
297,33.2429130077,10128.642843
298,32.9819331169,10161.994329
299,33.3748960495,10195.850256
300,33.5497200489,10229.5044429
301,32.8916649818,10262.5546458
302,33.4634540081,10296.9787269
303,33.3203361034,10330.6780059
304,32.5967957973,10363.664362
305,33.0838768482,10397.9835379
306,33.0252330303,10431.4275749
307,33.5663471222,10465.3996539
308,34.1403851509,10499.6954229
309,33.0345470905,10532.7822218
310,33.2135710716,10566.6153288
311,31.9844341278,10598.9229698
312,33.6114919186,10633.8259969
313,32.8923668861,10667.167141
314,33.3536169529,10701.181458
315,32.721175909,10734.6623769
316,33.417080164,10769.3477969
317,33.737377882,10803.4193389
318,33.0321550369,10836.6868248
319,32.8942348957,10870.394269
320,33.5530230999,10904.308687
321,33.3525280952,10938.2347078
322,32.9890589714,10971.6997838
323,33.2586939335,11005.9183788
324,33.3848440647,11039.633297
325,33.6898097992,11073.7399929
326,33.4447028637,11107.68555
327,33.1067790985,11141.2226779
328,34.2614400387,11176.2578938
329,33.4336090088,11209.7871339
330,33.4794008732,11243.8061318
331,33.8673911095,11278.243892
332,33.7933790684,11312.4347489
333,33.1722910404,11345.9483888
334,33.4874780178,11379.608516
335,33.1726200581,11412.807472
336,33.4110500813,11446.4742188
337,33.3058159351,11480.3107619
338,33.7416889668,11514.3004668
339,33.6617019176,11548.3621299
340,32.9924151897,11581.6992638
341,33.0594611168,11615.504272
342,34.06899786,11649.7925479
343,33.3561880589,11683.6472709
344,33.3402988911,11717.4808519
345,33.8190689087,11751.4397759
346,33.5780489445,11785.0997488
347,32.9851748943,11818.087745
348,33.1368758678,11851.629952
349,32.5577859879,11884.6568868
350,33.6431889534,11919.5818589
351,34.188256979,11953.8733759
352,33.2275500298,11987.3724878
353,34.3154828548,12022.2652609
354,34.1055219173,12056.3897898
355,33.9317080975,12090.4466929
356,34.1770398617,12125.0420599
357,33.4192609787,12158.8342738
358,34.3602368832,12193.788877
359,33.753401041,12227.5558758
360,33.2484748363,12261.110899
361,33.1168780327,12295.0118468
362,33.4404969215,12329.3700659
363,33.0822820663,12362.9373
364,33.3405508995,12396.9778688
365,34.3653969765,12431.75296
366,34.1664857864,12465.9215808
367,33.8794667721,12500.3142869
368,34.1306259632,12534.603266
369,33.4075701237,12568.0497289
370,33.7716748714,12602.677675
371,33.2147819996,12636.315454
372,33.2097342014,12670.12076
373,32.9447498322,12703.7295969
374,33.4033789635,12738.150445
375,34.5296990871,12773.367872
376,33.291287899,12806.6835079
377,33.1452291012,12840.9300189
378,34.3558738232,12876.0376139
379,34.2800190449,12910.9418378
380,32.8299620152,12944.2437758
381,33.3556528091,12978.6962719
382,34.5037801266,13014.0227809
383,34.3945479393,13048.583756
384,33.2514929771,13081.8431249
385,34.0607140064,13116.1294029
386,33.1277987957,13149.706723
387,33.1480970383,13183.9868178
388,34.4013271332,13219.1626289
389,33.5037398338,13252.916687
390,33.909058094,13287.560143
391,33.1130769253,13321.4061799
392,34.10268116,13356.467726
393,34.1855227947,13390.6616549
394,33.934762001,13424.7038639
395,33.5792028904,13458.7557569
396,33.6532361507,13492.591676
397,33.8355300426,13526.5652609
398,34.1670019627,13560.962194
399,33.3230640888,13594.3742418
400,33.7315609455,13628.6871748
401,33.2709219456,13662.9238138
402,33.725716114,13697.4026599
403,33.8305699825,13731.8151288
404,34.3739027977,13766.9706519
405,33.7412159443,13800.736764
406,33.2261090279,13834.3411469
407,34.3750071526,13869.7000439
408,34.3542850018,13904.4200628
409,33.3886818886,13937.9060109
410,34.1734340191,13973.0383139
411,34.0535240173,14007.3416998
412,34.219796896,14041.9215219
413,33.2481889725,14075.256532
414,33.1826269627,14108.8489778
415,32.8697271347,14142.6304488
416,33.4141340256,14176.8678229
417,32.726391077,14210.0685079
418,33.0803120136,14244.2285869
419,32.6812901497,14277.8425989
420,32.917951107,14311.5470529
421,33.3351778984,14345.6597488
422,33.51648283,14379.7055519
423,33.8408229351,14413.9532359
424,33.1539320946,14447.6830389
425,33.7159788609,14482.0216029
426,33.6073019505,14515.707865
427,33.3973588943,14549.7188878
428,33.4612340927,14583.6160619
429,33.3628730774,14617.3945639
430,33.4639120102,14651.978683
431,33.2709441185,14685.8922369
432,32.938215971,14719.5883429
433,33.0099978447,14753.7983098
434,34.2040719986,14788.7049589
435,33.2507669926,14822.1554029
436,33.5785348415,14856.2034929
437,33.4999358654,14890.1382828
438,33.2634739876,14924.1988039
439,32.844848156,14957.4262559
440,33.153952837,14991.6988459
441,33.6090381145,15025.901125
442,33.7560448647,15059.8708119
443,33.3490469456,15093.62357
444,33.355463028,15127.312819
445,33.38053298,15161.3931189
446,33.4897542,15195.357594
447,33.1376628876,15229.0723839
448,33.0490231514,15262.908438
449,33.4193620682,15296.9381299
450,33.5654191971,15330.7004399
451,33.3032040596,15364.0474548
452,33.2427971363,15397.5390768
453,33.8664648533,15431.590436
454,33.8186891079,15465.838589
455,33.3272669315,15499.5673769
456,33.5023818016,15533.581646
457,33.7022528648,15567.7468989
458,34.1879019737,15602.1456938
459,33.5327899456,15635.7448759
460,33.4935381413,15669.4801638
461,33.7740330696,15703.546448
462,33.1352300644,15736.7240138
463,33.1492910385,15770.45066
464,33.4041790962,15804.3173568
465,33.799683094,15838.5100899
466,34.1531910896,15873.0583339
467,33.017608881,15906.2786279
468,33.7619180679,15940.6664689
469,33.6748290062,15974.3430438
470,33.5866038799,16008.4154119
471,33.5240478516,16042.5030479
472,32.8038408756,16075.701582
473,33.9239618778,16110.681504
474,33.3050999641,16144.2171988
475,33.9233138561,16178.818038
476,33.9662730694,16213.121094
477,33.4154701233,16246.8132229
478,33.235460043,16280.5170648
479,33.9850690365,16315.3097749
480,33.2322118282,16348.7030859
481,33.5552461147,16383.0049798
482,33.3619229794,16416.8164568
483,33.6303198338,16450.4731629
484,33.3154501915,16484.2791188
485,33.633936882,16518.3459699
486,33.8019058704,16552.3470519
487,33.3528120518,16585.86795
488,33.1624820232,16619.6837699
489,33.8282160759,16653.8197498
490,33.9325540066,16687.8831599
491,34.099132061,16722.488384
492,33.2818148136,16756.2830508
493,33.5715589523,16790.506038
494,33.7407882214,16825.3090429
495,33.1243560314,16858.6109688
496,33.87271595,16893.0110178
497,33.9344739914,16927.4253428
498,33.358369112,16960.7855189
499,33.2776250839,16994.6582839
500,33.3949069977,17028.7039359
501,32.8367609978,17062.168427
502,33.9450469017,17097.3261309
503,33.5347979069,17131.549171
504,33.858825922,17166.1912019
505,33.834733963,17200.3695588
506,33.258302927,17233.7232389
507,33.6503090858,17267.8826108
508,33.2900369167,17301.3843529
509,33.835050106,17335.8298869
510,33.5520231724,17369.5682809
511,32.7653028965,17402.6718588
512,33.4193689823,17437.4888978
513,33.7150669098,17471.6605358
514,33.3672919273,17505.3119309
515,33.285348177,17538.713866
516,33.3253920078,17572.7502449
517,33.5504109859,17606.9647529
518,33.5422701836,17640.917156
519,32.9971678257,17673.9251318
520,33.3711419106,17708.0930958
521,33.5552220345,17742.119921
522,33.838301897,17776.231988
523,32.9204320908,17809.361692
524,33.5962200165,17843.5067239
525,33.5269908905,17877.4557178
526,33.4988379478,17911.0536668
527,33.1358649731,17944.523927
528,33.4709370136,17978.4566519
529,33.2407879829,18012.0655148
530,33.460490942,18046.125855
531,33.1112589836,18079.6156399
532,33.2210998535,18113.4982479
533,33.1897947788,18147.4388728
534,33.6642827988,18181.662339
535,32.9530220032,18214.824209
536,33.6305339336,18249.1239948
537,33.721339941,18283.2359519
538,33.0980269909,18316.3663218
539,33.4998149872,18350.3645339
540,33.3599569798,18383.7352178
541,33.246489048,18417.5038888
542,33.5201671124,18452.2459629
543,33.5019488335,18485.8366189
544,33.2848250866,18519.6195149
545,33.2648658752,18553.6359479
546,33.6532170773,18587.5261459
547,33.3435208797,18621.1449759
548,33.6172749996,18655.1320109
549,32.6826071739,18688.5694399
550,33.26475811,18722.8993299
551,33.7337350845,18756.9821
552,32.9640421867,18790.132628
553,33.7044770718,18825.1188619
554,33.2996211052,18858.740561
555,33.2649168968,18892.4354508
556,33.6863200665,18927.1468618
557,33.0946879387,18960.5843689
558,33.9694287777,18995.4077208
559,33.9087049961,19029.63571
560,33.3804008961,19063.2239268
561,33.9961390495,19098.1770759
562,33.4007649422,19131.8546798
563,33.921860218,19166.2842429
564,33.3193120956,19199.8962519
565,33.3941960335,19233.7717149
566,33.454046011,19267.93975
567,33.5669977665,19301.8977749
568,33.4843678474,19335.775034
569,33.6656861305,19369.9949589
570,33.9015040398,19404.3057618
571,33.3615190983,19438.2460589
572,33.6426029205,19472.2710159
573,33.6312329769,19506.4279189
574,33.8848688602,19540.7758329
575,33.8600568771,19574.824652
576,33.696928978,19608.9333429
577,33.7551648617,19643.2116308
578,33.4304978848,19677.0853758
579,33.9827270508,19711.6908808
580,33.4975409508,19745.355392
581,34.2410509586,19780.9900508
582,33.5574910641,19814.6836498
583,33.3409569263,19848.927177
584,33.2781441212,19883.3828928
585,33.096560955,19917.3294158
586,33.5979170799,19951.642457
587,33.2502229214,19985.4894969
588,33.7278089523,20019.909354
589,33.6904890537,20054.1411679
590,33.8335900307,20089.0645878
591,33.3860239983,20122.7838418
592,33.6845822334,20157.8691568
593,34.012100935,20192.2124779
594,33.4356579781,20225.805815
595,33.4561538696,20260.1988108
596,33.6936700344,20294.3987789
597,33.5704450607,20328.1389799
598,33.9860379696,20363.0590789
599,33.2726621628,20396.4670279
600,33.6120471954,20430.9313688
601,33.2824099064,20464.9840159
602,33.6329169273,20499.5518639
603,33.5516860485,20533.4973009
604,33.2071480751,20566.9963908
605,33.3146870136,20600.9040489
606,33.3569478989,20634.994067
607,33.4478399754,20668.870492
608,33.525138855,20702.858151
609,33.3191680908,20736.8639429
610,33.7934560776,20771.405371
611,32.5279421806,20804.2232678
612,33.5479340553,20838.9744639
613,32.7695410252,20872.6582949
614,33.5001471043,20907.0244939
615,32.9718718529,20941.0405419
616,33.2711110115,20975.025039
617,33.5686130524,21009.6405399
618,33.1840538979,21043.082902
619,34.2934019566,21077.936245
620,33.4066929817,21111.5413358
621,33.5405788422,21145.9861209
622,33.2657120228,21179.6159658
623,33.899949789,21214.204057
624,33.1151120663,21247.9218819
625,33.572218895,21281.9269629
626,34.0033881664,21316.2280128
627,33.0215039253,21349.4124539
628,33.2382650375,21383.6634159
629,33.6878778934,21418.0194409
630,34.0565559864,21452.6939628
631,33.0131349564,21485.7088389
632,33.4518988132,21519.922663
633,33.2946610451,21553.4693489
634,33.1595959663,21587.288029
635,33.0998899937,21621.425756
636,33.3349349499,21655.3569338
637,33.3296780586,21689.1160789
638,33.7316260338,21723.1184938
639,33.2480759621,21756.6829329
640,33.5347099304,21790.472518
641,33.1815450191,21823.9420409
642,33.1315038204,21857.7052639
643,33.2847158909,21891.4789288
644,33.2777619362,21924.9673319
645,33.4544050694,21958.9222379
646,33.4888010025,21992.9029438
647,33.1368410587,22026.3188999
648,32.9923071861,22059.7495399
649,33.4816100597,22093.703655
650,32.9769310951,22126.7813098
651,33.160159111,22160.654608
652,33.0367050171,22194.2248819
653,33.3203508854,22228.0263469
654,33.3677349091,22261.5216038
655,33.0480690002,22294.6663048
656,32.9833660126,22328.1537769
657,33.0058269501,22362.0005279
658,33.1240241528,22395.6262999
659,33.088684082,22429.263351
660,33.284414053,22463.5552459
661,33.4059050083,22497.4039059
662,33.992110014,22531.6666908
663,33.0688130856,22564.7435009
664,32.9460170269,22598.1296098
665,33.2144670486,22631.9960299
666,32.9371550083,22665.3782229
667,33.1644570827,22699.23314
668,33.2731928825,22732.895139
669,33.7906489372,22766.857523
670,33.4075758457,22801.4154689
671,33.3280870914,22835.045053
672,32.8352711201,22868.3042319
673,33.3340911865,22902.3622949
674,33.4332449436,22936.4707499
675,33.0369369984,22970.1715448
676,33.4859890938,23004.1375198
677,33.6089279652,23038.0989978
678,33.5845839977,23072.0245328
679,33.0927708149,23105.5242448
680,33.4215610027,23139.6359739
681,33.6518480778,23173.5146279
682,33.391354084,23207.195971
683,32.6292619705,23240.203589
684,33.3442518711,23274.4607649
685,33.2926189899,23308.4667768
686,33.1552481651,23342.107661
687,33.4694550037,23376.2880008
688,33.4566640854,23410.2186909
689,33.0459170341,23443.521292
690,33.7949140072,23477.8867249
691,33.2000930309,23511.4529338
692,33.4888699055,23545.3505409
693,33.2629699707,23578.9729888
694,33.1327199936,23612.323139
695,33.3520700932,23646.3899758
696,33.4167530537,23679.9450018
697,33.590692997,23713.5554609
698,33.6418731213,23747.4935248
699,33.1048049927,23781.2156889
700,33.2325708866,23815.195015
701,33.4872219563,23848.8190839
702,33.4845209122,23882.519264
703,32.7550699711,23915.5369189
704,33.1532180309,23949.5196419
705,33.6270480156,23983.9225109
706,33.1270060539,24017.391398
707,33.1187601089,24051.369452
708,33.1676449776,24085.0183849
709,32.8468108177,24118.6830449
